WD_EmployeeTypeId,WD_TimeTypeDesc,SAP_Employee_Group
EMPLOYEE_TYPE_GLOBAL_CASUAL,,E
EMPLOYEE_TYPE_GLOBAL_BOARD_DIRECTOR,,H
CONTINGENT_WORKER_TYPE_AGENCY_TEMP,,I
CONTINGENT_WORKER_TYPE_CONTRACTOR,,I
CONTINGENT_WORKER_TYPE_THIRD_PARTY_SERVICE_PROVIDER,,I
EMPLOYEE_TYPE_GLOBAL_FIXED_TERM,Full Time,C
EMPLOYEE_TYPE_GLOBAL_FIXED_TERM,Part Time,D
EMPLOYEE_TYPE_GLOBAL_PERMANENT,Full Time,A
EMPLOYEE_TYPE_GLOBAL_PERMANENT,Part Time,B
EMPLOYEE_TYPE_GLOBAL_INTERN,,
CONTINGENT_WORKER_TYPE_STATEMENT_OF_WORK,,I
CONTINGENT_WORKER_TYPE_TRAINEE_SPONSORSHIP,,I
CONTINGENT_WORKER_TYPE_INTERN_PAID_PLACEMENT,,I
